Date;Price
03/15/2024;8164.35
03/14/2024;8161.42
03/13/2024;8137.58
03/12/2024;8087.48
03/11/2024;8019.73
03/08/2024;8028.01
03/07/2024;8016.22
03/06/2024;7954.74
03/05/2024;7932.82
03/04/2024;7956.41
03/01/2024;7934.17
02/29/2024;7927.43
02/28/2024;7954.39
02/27/2024;7948.40
02/26/2024;7929.82
02/23/2024;7966.68
02/22/2024;7911.60
02/21/2024;7812.09
02/20/2024;7795.22
02/19/2024;7768.55
02/16/2024;7768.18
02/15/2024;7743.42
02/14/2024;7677.35
02/13/2024;7625.31
02/12/2024;7689.80
02/09/2024;7647.52
02/08/2024;7665.63
02/07/2024;7611.26
02/06/2024;7638.97
02/05/2024;7589.96
02/02/2024;7592.26
02/01/2024;7588.75
01/31/2024;7656.75
01/30/2024;7677.47
01/29/2024;7640.81
01/26/2024;7634.14
01/25/2024;7464.20
01/24/2024;7455.64
01/23/2024;7388.04
01/22/2024;7413.25
01/19/2024;7371.64
01/18/2024;7401.35
01/17/2024;7318.69
01/16/2024;7398.00
01/15/2024;7411.68
01/12/2024;7465.14
01/11/2024;7387.62
01/10/2024;7426.08
01/09/2024;7426.62
01/08/2024;7450.24
01/05/2024;7420.69
01/04/2024;7450.63
01/03/2024;7411.86
01/02/2024;7530.86
12/29/2023;7543.18
12/28/2023;7535.16
12/27/2023;7571.82
12/22/2023;7568.82
12/21/2023;7571.40
12/20/2023;7583.43
12/19/2023;7574.67
12/18/2023;7568.86
12/15/2023;7596.91
12/14/2023;7575.85
12/13/2023;7531.22
12/12/2023;7543.55
12/11/2023;7551.53
12/08/2023;7526.55
12/07/2023;7428.52
12/06/2023;7435.99
12/05/2023;7386.99
12/04/2023;7332.59
12/01/2023;7346.15
11/30/2023;7310.77
11/29/2023;7267.64
11/28/2023;7250.13
11/27/2023;7265.49
11/24/2023;7292.80
11/23/2023;7277.93
11/22/2023;7260.73
11/21/2023;7229.45
11/20/2023;7246.93
11/17/2023;7233.91
11/16/2023;7168.40
11/15/2023;7209.61
11/14/2023;7185.68
11/13/2023;7087.06
11/10/2023;7045.04
11/09/2023;7113.66
11/08/2023;7034.16
11/07/2023;6986.23
11/06/2023;7013.73
11/03/2023;7047.50
11/02/2023;7060.69
11/01/2023;6932.63
10/31/2023;6885.65
10/30/2023;6825.07
10/27/2023;6795.38
10/26/2023;6888.96
10/25/2023;6915.07
10/24/2023;6893.65
10/23/2023;6850.47
10/20/2023;6816.22
10/19/2023;6921.37
10/18/2023;6965.99
10/17/2023;7029.70
10/16/2023;7022.19
10/13/2023;7003.53
10/12/2023;7104.53
10/11/2023;7131.21
10/10/2023;7162.43
10/09/2023;7021.40
10/06/2023;7060.15
10/05/2023;6998.25
10/04/2023;6996.73
10/03/2023;6997.05
10/02/2023;7035.07
09/29/2023;7135.06
09/28/2023;7116.24
09/27/2023;7071.79
09/26/2023;7074.02
09/25/2023;7123.88
09/22/2023;7184.82
09/21/2023;7213.90
09/20/2023;7330.79
09/19/2023;7282.12
09/18/2023;7276.14
09/15/2023;7378.82
09/14/2023;7308.67
09/13/2023;7222.57
09/12/2023;7252.88
09/11/2023;7278.27
09/08/2023;7240.77
09/07/2023;7196.10
09/06/2023;7194.09
09/05/2023;7254.72
09/04/2023;7279.51
09/01/2023;7296.77
08/31/2023;7316.70
08/30/2023;7364.40
08/29/2023;7373.43
08/28/2023;7324.71
08/25/2023;7229.60
08/24/2023;7214.46
08/23/2023;7246.62
08/22/2023;7240.88
08/21/2023;7198.06
08/18/2023;7164.11
08/17/2023;7191.74
08/16/2023;7260.25
08/15/2023;7267.70
08/14/2023;7348.84
08/11/2023;7340.19
08/10/2023;7433.62
08/09/2023;7322.04
08/08/2023;7269.47
08/07/2023;7319.76
08/04/2023;7315.07
08/03/2023;7260.53
08/02/2023;7312.84
08/01/2023;7406.08
07/31/2023;7497.78
07/28/2023;7476.47
07/27/2023;7465.24
