Date;Price
03/15/2024;3.776
03/14/2024;3.770
03/13/2024;3.781
03/12/2024;3.802
03/11/2024;3.796
03/08/2024;3.786
03/07/2024;3.782
03/06/2024;3.791
03/05/2024;3.790
03/04/2024;3.815
03/01/2024;3.800
02/29/2024;3.791
02/28/2024;3.796
02/27/2024;3.801
02/26/2024;3.809
02/23/2024;3.802
02/22/2024;3.780
02/21/2024;3.778
02/20/2024;3.749
02/19/2024;3.776
02/16/2024;3.781
02/15/2024;3.771
02/14/2024;3.776
02/13/2024;3.788
02/12/2024;3.773
02/09/2024;3.790
02/08/2024;3.785
02/07/2024;3.764
02/06/2024;3.765
02/05/2024;3.780
02/02/2024;3.763
02/01/2024;3.705
01/31/2024;3.676
01/30/2024;3.730
01/29/2024;3.704
01/26/2024;3.746
01/25/2024;3.730
01/24/2024;3.766
01/23/2024;3.785
01/22/2024;3.781
01/19/2024;3.818
01/18/2024;3.810
01/17/2024;3.806
01/16/2024;3.788
01/15/2024;3.800
01/12/2024;3.801
01/11/2024;3.793
01/10/2024;3.787
01/09/2024;3.767
01/08/2024;3.783
01/05/2024;3.733
01/04/2024;3.697
01/03/2024;3.694
01/02/2024;3.670
01/01/2024;3.588
12/29/2023;3.561
12/28/2023;3.562
12/27/2023;3.616
12/25/2023;3.646
12/22/2023;3.624
12/21/2023;3.565
12/20/2023;3.710
12/19/2023;3.672
12/18/2023;3.760
12/15/2023;3.771
12/14/2023;3.748
12/13/2023;3.790
12/12/2023;3.768
12/11/2023;3.759
12/08/2023;3.762
12/07/2023;3.772
12/06/2023;3.743
12/05/2023;3.738
12/04/2023;3.776
12/01/2023;3.737
11/30/2023;3.794
11/29/2023;3.778
11/28/2023;3.813
11/27/2023;3.827
11/24/2023;3.787
11/23/2023;3.777
11/22/2023;3.770
11/21/2023;3.787
11/20/2023;3.808
11/17/2023;3.814
11/16/2023;3.814
11/15/2023;3.809
11/14/2023;3.810
11/13/2023;3.817
11/10/2023;3.821
11/09/2023;3.827
11/08/2023;3.824
11/07/2023;3.813
11/06/2023;3.828
11/03/2023;3.827
11/02/2023;3.831
11/01/2023;3.820
10/31/2023;3.819
10/30/2023;3.830
10/27/2023;3.809
10/26/2023;3.805
10/25/2023;3.821
10/24/2023;3.823
10/23/2023;3.831
10/20/2023;3.836
10/19/2023;3.843
10/18/2023;3.846
10/17/2023;3.841
10/16/2023;3.838
10/13/2023;3.828
10/12/2023;3.819
10/11/2023;3.818
10/10/2023;3.831
10/09/2023;3.843
10/06/2023;3.850
10/05/2023;3.844
10/04/2023;3.850
10/03/2023;3.847
10/02/2023;3.851
09/29/2023;3.802
09/28/2023;3.818
09/27/2023;3.800
09/26/2023;3.814
09/25/2023;3.803
09/22/2023;3.842
09/21/2023;3.849
09/20/2023;3.849
09/19/2023;3.841
09/18/2023;3.853
09/15/2023;3.840
09/14/2023;3.812
09/13/2023;3.768
09/12/2023;3.744
09/11/2023;3.713
09/08/2023;3.689
09/07/2023;3.692
09/06/2023;3.695
09/05/2023;3.665
09/04/2023;3.685
09/01/2023;3.624
08/31/2023;3.622
08/30/2023;3.654
08/29/2023;3.647
08/28/2023;3.650
08/25/2023;3.620
08/24/2023;3.632
08/23/2023;3.634
08/22/2023;3.689
08/21/2023;3.705
08/18/2023;3.678
08/17/2023;3.667
08/16/2023;3.660
08/15/2023;3.655
08/14/2023;3.662
08/11/2023;3.617
08/10/2023;3.584
08/09/2023;3.586
08/08/2023;3.588
08/07/2023;3.614
08/04/2023;3.660
08/03/2023;3.664
08/02/2023;3.668
08/01/2023;3.681
07/31/2023;3.688
07/28/2023;3.672
07/27/2023;3.689
07/26/2023;3.675
07/25/2023;3.688
07/24/2023;3.668
07/21/2023;3.682
07/20/2023;3.681
07/19/2023;3.666
07/18/2023;3.648
07/17/2023;3.709
07/14/2023;3.720
07/13/2023;3.711
07/12/2023;3.717
07/11/2023;3.719
07/10/2023;3.690
07/07/2023;3.591
07/06/2023;3.572
07/05/2023;3.571
07/04/2023;3.583
07/03/2023;3.567
06/30/2023;3.554
06/29/2023;3.557
06/28/2023;3.559
06/27/2023;3.543
06/26/2023;3.565
06/23/2023;3.557
06/22/2023;3.570
06/21/2023;3.552
06/20/2023;3.544
06/19/2023;3.525
06/16/2023;3.524
06/15/2023;3.499
06/14/2023;3.451
06/13/2023;3.455
06/12/2023;3.464
06/09/2023;3.387
06/08/2023;3.383
06/07/2023;3.385
06/06/2023;3.354
06/05/2023;3.364
06/02/2023;3.319
06/01/2023;3.332
05/31/2023;3.303
05/30/2023;3.310
05/29/2023;3.282
05/26/2023;3.324
05/25/2023;3.301
05/24/2023;3.278
05/23/2023;3.284
05/22/2023;3.282
05/19/2023;3.250
05/18/2023;3.248
05/17/2023;3.235
05/16/2023;3.236
05/15/2023;3.212
05/12/2023;3.212
05/11/2023;3.204
05/10/2023;3.196
05/09/2023;3.184
05/08/2023;3.190
05/05/2023;3.172
05/04/2023;3.165
05/03/2023;3.227
05/02/2023;3.214
04/28/2023;3.211
04/27/2023;3.216
04/26/2023;3.204
04/25/2023;3.230
04/24/2023;3.264
04/21/2023;3.238
04/20/2023;3.220
04/19/2023;3.218
04/18/2023;3.198
04/17/2023;3.214
04/14/2023;3.132
04/13/2023;3.121
04/12/2023;3.093
04/11/2023;3.071
04/06/2023;3.027
04/05/2023;3.008
04/04/2023;2.980
04/03/2023;3.000
03/31/2023;2.991
03/30/2023;2.999
03/29/2023;2.966
03/28/2023;2.951
03/27/2023;2.979
03/24/2023;2.914
03/23/2023;3.003
03/22/2023;3.024
03/21/2023;2.959
03/20/2023;2.882
03/17/2023;2.844
