Date;Price
03/15/2024;62.48
03/14/2024;62.71
03/13/2024;61.74
03/12/2024;60.67
03/11/2024;60.13
03/08/2024;60.05
03/07/2024;59.92
03/06/2024;59.98
03/05/2024;59.16
03/04/2024;59.39
03/01/2024;59.80
02/29/2024;58.99
02/28/2024;59.40
02/27/2024;59.50
02/26/2024;59.19
02/23/2024;59.66
02/22/2024;59.13
02/21/2024;58.92
02/20/2024;58.60
02/19/2024;59.69
02/16/2024;59.89
02/15/2024;59.75
02/14/2024;60.42
02/13/2024;60.30
02/12/2024;59.82
02/09/2024;59.72
02/08/2024;59.18
02/07/2024;58.39
02/06/2024;60.30
02/05/2024;59.22
02/02/2024;59.80
02/01/2024;60.58
01/31/2024;60.10
01/30/2024;60.43
01/29/2024;60.21
01/26/2024;59.62
01/25/2024;58.94
01/24/2024;58.86
01/23/2024;58.12
01/22/2024;57.75
01/19/2024;58.28
01/18/2024;58.51
01/17/2024;58.26
01/16/2024;59.58
01/15/2024;59.94
01/12/2024;60.14
01/11/2024;59.48
01/10/2024;59.77
01/09/2024;60.12
01/08/2024;60.55
01/05/2024;62.50
01/04/2024;62.48
01/03/2024;61.74
01/02/2024;61.99
12/29/2023;61.60
12/28/2023;61.41
12/27/2023;62.47
12/22/2023;62.30
12/21/2023;62.00
12/20/2023;62.15
12/19/2023;61.99
12/18/2023;62.35
12/15/2023;61.63
12/14/2023;61.41
12/13/2023;61.36
12/12/2023;61.31
12/11/2023;61.97
12/08/2023;61.90
12/07/2023;60.67
12/06/2023;60.65
12/05/2023;61.37
12/04/2023;61.39
12/01/2023;62.36
11/30/2023;62.26
11/29/2023;61.68
11/28/2023;63.19
11/27/2023;62.86
11/24/2023;63.14
11/23/2023;62.81
11/22/2023;61.85
11/21/2023;62.95
11/20/2023;63.00
11/17/2023;61.81
11/16/2023;60.96
11/15/2023;62.61
11/14/2023;62.54
11/13/2023;62.79
11/10/2023;62.04
11/09/2023;61.36
11/08/2023;60.78
11/07/2023;61.24
11/06/2023;62.66
11/03/2023;62.33
11/02/2023;64.59
11/01/2023;63.63
10/31/2023;63.20
10/30/2023;62.99
10/27/2023;63.00
10/26/2023;62.48
10/25/2023;62.20
10/24/2023;62.03
10/23/2023;62.30
10/20/2023;62.57
10/19/2023;63.33
10/18/2023;63.78
10/17/2023;63.18
10/16/2023;63.06
10/13/2023;63.17
10/12/2023;62.17
10/11/2023;61.69
10/10/2023;61.89
10/09/2023;61.39
10/06/2023;60.34
10/05/2023;59.77
10/04/2023;60.09
10/03/2023;61.28
10/02/2023;61.55
09/29/2023;62.31
09/28/2023;63.62
09/27/2023;62.93
09/26/2023;61.91
09/25/2023;62.13
09/22/2023;61.91
09/21/2023;61.88
09/20/2023;62.29
09/19/2023;63.04
09/18/2023;61.99
09/15/2023;62.37
09/14/2023;62.28
09/13/2023;61.23
09/12/2023;61.29
09/11/2023;60.74
09/08/2023;60.38
09/07/2023;59.88
09/06/2023;59.51
09/05/2023;59.90
09/04/2023;58.72
09/01/2023;58.89
08/31/2023;58.07
08/30/2023;57.94
08/29/2023;57.86
08/28/2023;57.89
08/25/2023;57.32
08/24/2023;57.17
08/23/2023;56.97
08/22/2023;57.98
08/21/2023;57.59
08/18/2023;57.01
08/17/2023;56.76
08/16/2023;56.32
08/15/2023;56.10
08/14/2023;56.58
08/11/2023;57.17
08/10/2023;57.82
08/09/2023;57.04
08/08/2023;55.16
08/07/2023;55.43
08/04/2023;55.57
08/03/2023;54.10
08/02/2023;53.11
08/01/2023;54.61
07/31/2023;55.26
07/28/2023;54.44
07/27/2023;54.32
07/26/2023;53.86
07/25/2023;54.34
07/24/2023;54.79
07/21/2023;53.99
07/20/2023;53.30
07/19/2023;52.32
07/18/2023;51.56
07/17/2023;50.96
07/14/2023;51.28
07/13/2023;52.64
07/12/2023;52.57
07/11/2023;51.99
07/10/2023;51.23
07/07/2023;51.10
07/06/2023;50.58
07/05/2023;52.70
07/04/2023;53.63
07/03/2023;53.50
06/30/2023;52.55
06/29/2023;51.93
06/28/2023;52.02
06/27/2023;52.00
06/26/2023;52.57
06/23/2023;52.05
06/22/2023;52.51
06/21/2023;53.85
06/20/2023;53.16
06/19/2023;53.81
06/16/2023;53.80
06/15/2023;53.75
06/14/2023;53.91
06/13/2023;54.16
06/12/2023;53.95
06/09/2023;54.95
06/08/2023;55.03
06/07/2023;54.79
06/06/2023;54.34
06/05/2023;54.85
06/02/2023;55.18
06/01/2023;53.79
05/31/2023;53.08
05/30/2023;53.82
05/29/2023;55.73
05/26/2023;55.76
05/25/2023;55.00
05/24/2023;56.86
05/23/2023;57.02
05/22/2023;55.92
05/19/2023;56.12
05/18/2023;55.69
05/17/2023;55.19
05/16/2023;55.14
05/15/2023;55.88
05/12/2023;55.76
05/11/2023;54.87
05/10/2023;55.59
05/09/2023;55.45
05/08/2023;56.20
05/05/2023;56.13
05/04/2023;54.66
05/03/2023;54.63
05/02/2023;55.00
04/28/2023;57.94
04/27/2023;56.87
04/26/2023;58.40
04/25/2023;57.65
04/24/2023;58.21
04/21/2023;57.70
04/20/2023;57.58
04/19/2023;58.07
04/18/2023;58.65
04/17/2023;58.73
04/14/2023;58.72
04/13/2023;58.23
04/12/2023;58.46
